Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3674160254.364668,344.000000,0.000000,118.788522,1.551976,110.188454,1.632726,113.896839,1.548424,99.258596,1.530763,112.894792,1.590896,101.578354,1.659457,106.674228,1.457093,114.238299,1.471879,109.444440,1.565268,99.013985,1.556768,113.803672,1.428473,105.641776,1.571777,103.181173,1.432627,106.109836,1.279190,118.753275,1.327231,111.607708,1.396391,109.932750,1.186861,97.013110,1.269237,126.295905,1.257805,126.436920,1.096999,99.554700,1.059218,107.617420,1.221766,123.817573,1.201894,135.347992,1.009615,109.345822,1.127798
3674160254.465400,344.000000,0.000000,114.481684,1.440970,114.865236,1.428829,101.682895,1.479747,109.821754,1.334078,111.016984,1.382643,90.167049,1.525663,96.309740,1.332710,115.264767,1.356007,98.438488,1.353808,96.798907,1.495922,107.437489,1.250016,118.247996,1.272157,96.988596,1.384961,104.719695,1.125222,97.897954,1.274488,99.296228,1.314809,103.331748,1.047365,101.019067,1.148196,103.478807,1.113530,124.124976,0.979103,99.708302,0.914653,113.566490,1.074532,110.681036,1.003814,128.729074,0.841920,130.059291,0.964157
3674160254.565133,344.000000,0.000000,112.092842,1.599464,109.307242,1.500870,117.621847,1.475246,103.229886,1.491183,100.197151,1.447418,93.357216,1.558574,103.027752,1.342379,106.965217,1.439772,102.267141,1.393510,115.809397,1.433757,112.645583,1.372084,107.174608,1.417903,100.373187,1.424936,112.236164,1.163028,95.328996,1.379307,98.758646,1.311101,109.442207,1.151685,103.250240,1.250208,111.423437,1.212087,109.491509,0.951411,101.137026,0.899370,113.557408,1.107861,118.435532,1.268304,120.848588,1.001001,115.214517,1.124135
3674160254.664875,344.000000,0.000000,96.835259,1.511421,96.398272,1.503257,100.949657,1.476335,97.061796,1.412424,92.083859,1.496768,87.073884,1.481680,92.917638,1.416687,103.501526,1.407102,91.672252,1.371552,97.581555,1.436230,100.965246,1.478256,85.051266,1.397318,88.146371,1.287708,86.737117,1.145794,85.338746,1.263828,93.341547,1.220450,99.068566,1.041877,90.923314,1.276559,107.130049,1.164892,106.284353,1.112885,92.528558,1.001360,99.629789,1.206239,108.738710,1.045359,103.614318,0.940228,107.544571,0.997299
3674160254.764598,344.000000,0.000000,105.227075,1.603995,111.747867,1.613368,113.567952,1.575244,106.632963,1.632530,100.846503,1.601431,94.820742,1.613274,102.714228,1.467535,108.510832,1.505636,90.091776,1.551787,97.844960,1.587607,136.855052,1.450334,96.345864,1.478574,96.879335,1.520077,115.300571,1.370900,99.565362,1.460020,97.378004,1.469823,110.299490,1.157649,100.718702,1.300357,104.773843,1.299525,106.316932,1.111511,93.669067,1.181369,113.316673,1.237818,112.321158,1.452131,118.166760,1.093956,112.099353,1.075506
3674160254.865330,344.000000,0.000000,106.485830,1.414163,115.002253,1.478166,105.407904,1.468318,93.992251,1.444751,101.489651,1.338869,92.481927,1.441076,92.913683,1.355958,113.884499,1.352504,94.214457,1.347551,97.632175,1.452956,107.071443,1.251653,90.148702,1.407623,98.726930,1.308869,104.178716,1.086890,91.232488,1.287325,97.894374,1.308735,101.436459,1.070850,99.658057,1.277654,104.915933,1.154463,115.068006,0.919939,95.925084,0.960738,108.906590,1.036411,102.815354,1.080048,129.497302,0.860741,102.748714,1.078507
3674160254.965063,344.000000,0.000000,116.573014,1.529614,106.984921,1.528376,102.066428,1.515672,96.556629,1.555847,106.020742,1.521644,92.208320,1.516849,92.569372,1.502131,117.617799,1.566611,88.291646,1.467762,100.522709,1.518540,114.156522,1.318849,100.599351,1.498644,98.420547,1.351968,106.870355,1.240578,94.580496,1.361647,94.339070,1.261510,107.916303,1.012298,88.858755,1.256107,92.837296,1.299032,107.664894,1.067540,108.968808,0.917363,108.430829,1.104684,110.404986,1.142517,124.607332,0.994542,123.789677,1.045211
3674160255.065279,344.000000,0.000000,94.900948,1.556580,112.031454,1.458392,99.585854,1.442590,92.609387,1.523510,86.342138,1.338451,89.317397,1.575440,87.849823,1.384420,98.918561,1.441170,78.568635,1.374458,93.396221,1.498414,97.991779,1.310167,93.480450,1.431868,89.896831,1.394301,92.956954,1.173024,79.838410,1.336028,87.657914,1.243388,93.618192,1.169443,87.687484,1.246988,95.480779,1.100702,92.204099,0.986938,89.481020,0.951167,95.564049,1.105378,97.747746,1.079920,103.551285,0.939610,97.148228,0.944285
3674160255.165012,344.000000,0.000000,95.622415,1.367503,105.398266,1.437727,101.654734,1.502769,92.756735,1.448939,96.267210,1.240009,91.140717,1.422696,93.077578,1.319495,98.176566,1.324791,79.533223,1.377935,97.230138,1.362566,102.783967,1.255057,87.151912,1.306115,95.171024,1.258121,103.723918,1.044575,84.906237,1.240067,97.042135,1.232779,97.461789,1.013342,88.059709,1.142609,111.287948,1.074249,107.090591,0.964842,96.512412,0.941101,98.601900,1.099894,103.986008,1.020324,103.593358,0.833558,93.213173,0.908746
3674160255.264999,344.000000,0.000000,106.570493,1.345710,108.857148,1.358413,105.267885,1.325854,96.243493,1.376065,97.668304,1.379819,91.725183,1.396485,101.810696,1.200809,105.366916,1.359786,92.778101,1.347908,99.213330,1.371268,97.892998,1.227823,92.778422,1.263766,106.655153,1.332649,97.443300,1.121995,87.666871,1.242349,88.060276,1.144169,104.475996,0.989037,91.267800,1.222312,120.984449,1.010994,99.719449,0.954052,95.644331,0.839093,104.032233,1.030759,111.394239,1.059277,122.951362,0.885347,111.764926,0.952216
