Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3674770088.297698,359.000000,0.508000,78.352245,-1.008189,76.502059,-1.040755,74.361465,-1.155688,70.236932,-1.172732,71.286912,-1.179920,76.535160,-1.226153,72.301469,-1.362209,69.107611,-1.444928,74.319407,-1.494706,73.350808,-1.564354,74.751904,-1.602127,74.825620,-1.647549,75.898190,-1.709167,68.894616,-1.852471,70.309973,-1.872877,73.019657,-1.998561,70.934207,-2.039735,78.330864,-2.039794,78.503484,-2.038587,77.183303,-2.220343,68.932446,-2.240547,77.441268,-2.288938,79.633607,-2.367403,74.924813,-2.416051,75.062949,-2.434957
3674770088.397689,359.000000,0.508000,78.352245,-1.008189,76.502059,-1.040755,74.361465,-1.155688,70.236932,-1.172732,71.286912,-1.179920,76.535160,-1.226153,72.301469,-1.362209,69.107611,-1.444928,74.319407,-1.494706,73.350808,-1.564354,74.751904,-1.602127,74.825620,-1.647549,75.898190,-1.709167,68.894616,-1.852471,70.309973,-1.872877,73.019657,-1.998561,70.934207,-2.039735,78.330864,-2.039794,78.503484,-2.038587,77.183303,-2.220343,68.932446,-2.240547,77.441268,-2.288938,79.633607,-2.367403,74.924813,-2.416051,75.062949,-2.434957
3674770088.497724,359.000000,0.508000,78.352245,-1.008189,76.502059,-1.040755,74.361465,-1.155688,70.236932,-1.172732,71.286912,-1.179920,76.535160,-1.226153,72.301469,-1.362209,69.107611,-1.444928,74.319407,-1.494706,73.350808,-1.564354,74.751904,-1.602127,74.825620,-1.647549,75.898190,-1.709167,68.894616,-1.852471,70.309973,-1.872877,73.019657,-1.998561,70.934207,-2.039735,78.330864,-2.039794,78.503484,-2.038587,77.183303,-2.220343,68.932446,-2.240547,77.441268,-2.288938,79.633607,-2.367403,74.924813,-2.416051,75.062949,-2.434957
3674770088.598758,359.000000,0.508000,78.352245,-1.008189,76.502059,-1.040755,74.361465,-1.155688,70.236932,-1.172732,71.286912,-1.179920,76.535160,-1.226153,72.301469,-1.362209,69.107611,-1.444928,74.319407,-1.494706,73.350808,-1.564354,74.751904,-1.602127,74.825620,-1.647549,75.898190,-1.709167,68.894616,-1.852471,70.309973,-1.872877,73.019657,-1.998561,70.934207,-2.039735,78.330864,-2.039794,78.503484,-2.038587,77.183303,-2.220343,68.932446,-2.240547,77.441268,-2.288938,79.633607,-2.367403,74.924813,-2.416051,75.062949,-2.434957
3674770088.699497,359.000000,0.508000,78.352245,-1.008189,76.502059,-1.040755,74.361465,-1.155688,70.236932,-1.172732,71.286912,-1.179920,76.535160,-1.226153,72.301469,-1.362209,69.107611,-1.444928,74.319407,-1.494706,73.350808,-1.564354,74.751904,-1.602127,74.825620,-1.647549,75.898190,-1.709167,68.894616,-1.852471,70.309973,-1.872877,73.019657,-1.998561,70.934207,-2.039735,78.330864,-2.039794,78.503484,-2.038587,77.183303,-2.220343,68.932446,-2.240547,77.441268,-2.288938,79.633607,-2.367403,74.924813,-2.416051,75.062949,-2.434957
3674770088.799223,359.000000,0.472000,65.756177,1.218307,68.260814,1.136783,65.074093,1.144458,63.946870,1.115307,68.397418,1.081712,64.734209,1.051448,69.208523,1.006913,63.515576,1.025459,66.650301,1.042709,66.866063,0.902475,63.572038,0.958844,62.381291,0.963211,61.613790,0.857762,61.581147,0.843492,62.955760,0.750436,60.835583,0.764346,60.739906,0.769893,61.948761,0.774353,66.383814,0.701699,60.376107,0.644588,60.318158,0.646223,62.540498,0.692730,61.041134,0.515250,69.345182,0.511001,66.098744,0.488944
3674770088.898955,359.000000,0.520000,72.787670,1.084517,71.935493,1.199768,68.390347,1.137783,66.670241,1.052458,68.022480,1.082543,64.427449,0.947244,67.117430,0.998717,66.359143,0.918142,68.110776,0.955984,67.632855,0.892153,69.407796,0.921355,65.005814,0.866590,66.137254,0.915627,66.731849,0.795523,62.580337,0.794201,63.385000,0.790889,63.270255,0.729719,67.347698,0.716534,68.371327,0.715018,70.894681,0.696658,68.917793,0.586805,69.074979,0.583235,65.235661,0.627037,68.793024,0.553357,68.004189,0.448637
3674770088.999016,359.000000,0.480000,66.271822,1.159058,67.311712,1.151853,65.978080,1.015445,63.917054,1.032934,66.789302,1.054414,70.511210,1.026898,65.371913,0.997486,64.273435,0.940449,62.367147,0.916993,63.587905,0.878188,64.702622,0.914024,65.264731,0.793799,63.745421,0.808207,66.397622,0.747471,62.326803,0.774219,67.914726,0.686321,62.757875,0.686126,67.530201,0.683598,62.049335,0.635316,68.210746,0.575703,67.705656,0.593983,66.389111,0.489471,65.131759,0.489790,67.541806,0.481641,69.312159,0.393965
3674770089.098766,359.000000,0.456000,71.090464,1.085469,66.833212,1.116773,67.008630,1.052592,64.873578,0.986458,65.206723,0.936238,64.590004,0.982388,65.627336,0.959643,63.497176,0.934878,60.803997,0.877431,64.290481,0.840005,67.048586,0.878335,62.005395,0.784602,59.576835,0.846175,64.042819,0.662751,60.623548,0.684078,68.083541,0.659097,64.998714,0.638717,64.746785,0.643889,62.656720,0.639440,65.379536,0.595446,70.473809,0.490816,71.414499,0.583593,68.148764,0.526639,67.087897,0.445513,65.261556,0.430670
3674770089.199465,359.000000,0.472000,70.620183,-0.765378,67.181488,-0.698324,70.087609,-0.539131,68.224413,-0.428252,61.658036,-0.350825,65.330421,-0.179239,65.904802,-0.066693,72.964858,0.099589,61.739758,0.208098,65.029099,0.303863,62.225804,0.412607,64.248135,0.528992,64.024141,0.637146,64.459332,0.785452,65.721268,0.898625,64.266375,1.092246,67.501351,1.135496,61.850096,1.272035,65.338927,1.333387,65.254080,1.491703,62.482489,1.617385,70.922946,1.738120,63.730278,1.844190,72.945770,1.965740,66.663085,2.054862
3674770089.300200,359.000000,0.468000,68.974552,1.012336,70.179455,1.056341,73.419832,0.981610,67.417507,0.937558,69.674246,0.920897,65.605591,0.892730,69.803202,0.880424,66.470941,0.795667,67.974804,0.797340,68.528159,0.751406,64.683954,0.814268,64.265443,0.761186,61.045106,0.666107,69.282774,0.653581,65.245155,0.648798,64.889343,0.535047,67.621517,0.602558,64.771782,0.560946,70.522074,0.529041,68.791737,0.462973,67.307428,0.526823,66.932715,0.485472,70.428832,0.456398,69.150446,0.377917,68.481763,0.426363
3674770089.399928,359.000000,0.488000,70.601666,1.038826,71.294236,0.998095,67.263765,1.029576,70.696017,1.002039,64.444132,0.970091,62.244161,0.873594,65.272004,0.864012,64.904877,0.816841,67.107048,0.877925,68.882013,0.844341,65.591828,0.782904,69.100506,0.729972,69.119135,0.740181,68.753024,0.674567,68.698696,0.672650,66.702860,0.688511,67.091385,0.582700,67.107214,0.586904,68.369386,0.530857,69.365471,0.509531,71.646869,0.524424,68.734976,0.477472,67.203047,0.431302,71.670908,0.436157,73.724451,0.390418
3674770089.500697,359.000000,0.504000,72.683936,0.989796,71.358501,0.968194,68.876989,0.925877,66.448677,0.955353,70.054039,0.859566,67.843510,0.814719,66.419268,0.824819,70.510402,0.805831,71.391691,0.868878,70.999566,0.801882,69.929681,0.767389,68.067930,0.721585,66.617683,0.653336,70.311101,0.652865,67.100945,0.572175,72.581030,0.596273,67.892009,0.564034,68.573429,0.586631,64.357772,0.518340,68.848986,0.496208,65.248769,0.425690,68.762484,0.464259,69.630400,0.370474,76.726493,0.335212,65.967536,0.299817
3674770089.601427,359.000000,0.472000,72.287308,0.982188,72.218491,1.040078,74.756859,0.993529,65.003107,0.978980,68.751300,0.976256,66.507008,0.887149,65.809877,0.869589,68.517797,0.874175,67.603935,0.789059,68.291082,0.862319,70.696414,0.659650,69.282388,0.756636,65.545679,0.717918,68.806585,0.611322,69.841046,0.630265,67.343107,0.652426,74.832423,0.585561,67.451899,0.502991,68.964976,0.515496,72.789250,0.525834,69.367080,0.422831,66.156890,0.385235,69.121710,0.365746,67.302800,0.394595,69.491228,0.386860
3674770089.701161,359.000000,0.484000,68.632243,-0.834453,70.694571,-0.761589,68.245222,-0.612686,69.934489,-0.456167,68.364718,-0.385103,68.538495,-0.312464,69.937080,-0.149072,61.552996,-0.039837,68.223825,0.017991,72.137713,0.265972,62.049737,0.303858,66.116157,0.438127,71.348595,0.523805,65.413796,0.645708,72.258144,0.847230,67.530569,0.942984,66.562642,1.052787,69.293820,1.125524,67.490313,1.282546,74.217349,1.422333,68.275291,1.553919,71.436864,1.652876,68.623591,1.748582,71.856645,1.896307,70.803924,1.999740
3674770089.800895,359.000000,0.476000,69.474299,0.968116,74.653185,1.003992,67.770289,0.909165,70.106757,0.829728,70.915411,0.877520,66.904109,0.804785,69.591426,0.776523,68.572706,0.756887,67.636112,0.817746,69.338682,0.740097,70.708495,0.676975,73.845721,0.650669,65.015132,0.590261,69.641008,0.578154,66.314320,0.560207,64.654123,0.583468,66.471431,0.469010,69.151123,0.479013,71.900243,0.438389,71.616646,0.483887,75.978592,0.444651,68.527518,0.334903,69.966971,0.340734,68.043026,0.400933,70.730835,0.215525
3674770089.900653,359.000000,0.532000,62.376872,0.946331,66.973333,0.900193,65.960421,0.874584,68.341818,0.858280,65.841894,0.840731,62.377061,0.791312,66.666021,0.832269,63.345583,0.811072,63.008220,0.735881,67.149232,0.682349,63.498385,0.676742,63.370055,0.651080,64.325737,0.618606,63.007471,0.559623,65.234808,0.516211,64.907676,0.485861,65.161885,0.441269,68.445617,0.506807,63.969151,0.474205,65.601601,0.370098,66.740052,0.490144,66.909964,0.366584,69.836210,0.324817,65.271522,0.298649,69.238827,0.313315
3674770090.001655,359.000000,0.472000,72.722543,0.971055,67.715247,0.975284,67.107107,0.965208,70.363451,0.933793,67.915681,0.886069,66.564861,0.836970,69.661077,0.832065,66.749477,0.824603,65.310974,0.753496,65.586845,0.749892,65.466732,0.752834,67.599087,0.620914,64.032543,0.681975,66.738930,0.595495,65.143525,0.550807,67.758989,0.574028,68.857603,0.558447,66.000844,0.491349,69.101619,0.532427,68.216692,0.531025,70.684171,0.467384,67.380455,0.431600,64.767634,0.396362,69.210437,0.321947,70.259798,0.335088
3674770090.102827,359.000000,0.476000,79.122859,1.029937,72.018774,0.961391,67.973067,0.943571,72.816414,0.898754,69.426794,0.841520,71.157830,0.884098,69.810861,0.858091,66.711110,0.819643,68.415335,0.796482,65.359738,0.788866,65.803638,0.710850,68.427945,0.676285,64.505543,0.654771,70.553014,0.599577,67.033248,0.598911,71.845225,0.586619,67.637962,0.589118,66.803627,0.447626,68.454126,0.485864,66.666082,0.445146,70.142140,0.421426,71.439873,0.415990,67.323547,0.346495,69.349371,0.339003,71.489261,0.292784
3674770090.202561,359.000000,0.484000,69.576098,0.945515,80.785513,0.892385,69.471511,0.874629,76.818286,0.936107,67.326154,0.829142,68.281107,0.773837,67.836187,0.775982,72.124941,0.783845,70.779154,0.702916,74.781008,0.734627,70.759052,0.714704,69.509926,0.702096,66.853388,0.588853,68.274253,0.586690,68.648858,0.611386,67.496519,0.576819,72.870857,0.469171,65.115687,0.480022,69.402135,0.456879,70.493322,0.428240,66.578979,0.377545,76.699217,0.408904,70.970485,0.368684,69.357799,0.310556,73.855302,0.316754
3674770090.303294,359.000000,0.476000,66.323683,1.000295,70.885373,0.940670,70.393536,0.937669,74.180982,0.867273,68.322374,0.835299,70.718118,0.874492,68.910448,0.822593,70.118968,0.750891,66.366655,0.721802,69.672244,0.677848,70.417797,0.596277,72.354066,0.668113,68.038507,0.661663,65.852723,0.632319,71.696167,0.557983,63.446718,0.556769,69.736346,0.431596,69.179368,0.430514,69.991750,0.454646,68.872415,0.400070,70.633621,0.386513,69.898203,0.405388,72.383550,0.275400,71.093647,0.235671,71.840699,0.268101
3674770090.403025,359.000000,0.476000,70.678750,0.915429,73.252497,0.919764,67.576962,0.861850,64.396047,0.881212,67.471473,0.768391,64.125100,0.732034,67.557221,0.806741,67.434960,0.785613,71.215272,0.690465,63.785601,0.636344,63.477001,0.710510,65.317563,0.627154,62.970774,0.569425,66.181404,0.606328,66.575536,0.510389,66.796022,0.490442,67.309056,0.487783,66.887532,0.433619,64.960243,0.506559,66.142825,0.406530,69.945771,0.350829,66.301064,0.347243,69.361302,0.347175,67.437201,0.295709,67.286779,0.216108
3674770090.502760,359.000000,0.492000,71.698997,0.907728,73.068369,0.895361,72.625497,0.864708,69.606767,0.814960,66.869042,0.779813,71.604694,0.779469,68.342276,0.796994,65.405736,0.700593,62.951696,0.673424,61.763161,0.684218,64.138940,0.630595,63.289796,0.593806,64.161341,0.527153,66.976762,0.510437,63.683533,0.450631,63.298120,0.473330,67.633527,0.513485,65.925966,0.418286,65.392066,0.366449,69.156927,0.447937,75.058100,0.311285,66.313986,0.327401,65.124944,0.366456,69.496899,0.303927,69.415834,0.246702
3674770090.602579,359.000000,0.488000,70.076024,0.928890,73.717852,0.946330,69.472529,0.890047,69.258063,0.791190,69.426415,0.877129,62.512304,0.806495,72.089630,0.745695,65.823484,0.727704,65.761380,0.664913,70.135127,0.613952,66.543805,0.673134,68.975623,0.660910,70.995227,0.568860,67.632516,0.531737,63.851127,0.541285,70.999774,0.509658,68.849894,0.455166,71.135796,0.431625,69.201945,0.471142,73.581724,0.443511,69.858201,0.362910,67.048269,0.318224,73.662667,0.318966,72.383232,0.311926,65.910456,0.287016
3674770090.703418,359.000000,0.524000,73.172301,0.965012,70.553538,0.887208,70.027983,0.838255,70.664076,0.902961,71.200506,0.790586,66.151380,0.807946,66.811629,0.737758,70.564109,0.721401,68.601429,0.734210,74.643067,0.717580,69.399761,0.716179,69.396016,0.610055,67.783992,0.601197,66.023826,0.536653,69.087556,0.611963,65.679002,0.491684,70.307524,0.410214,70.340086,0.496706,69.838499,0.442426,70.233751,0.338602,67.743431,0.338400,67.703904,0.321275,65.401225,0.361941,76.604017,0.279502,77.918068,0.197840
3674770090.803117,359.000000,0.480000,67.386950,0.880476,67.715877,0.890775,69.442169,0.875504,69.130303,0.815679,65.165469,0.772062,66.066258,0.811104,67.096875,0.713448,65.565768,0.744393,65.736507,0.698097,66.811570,0.623216,63.899607,0.584774,63.802301,0.531877,64.469909,0.575331,65.856776,0.509707,69.519608,0.541086,63.229182,0.548002,69.433340,0.482207,66.154599,0.448469,67.894532,0.388944,65.877364,0.346645,67.881685,0.374400,69.661400,0.327359,70.119239,0.258648,72.366885,0.237441,70.519463,0.197070
3674770090.904308,359.000000,0.516000,68.429376,0.861900,73.213056,0.829334,67.933726,0.907200,66.925206,0.834773,68.099297,0.829570,62.453129,0.764018,66.886277,0.724604,71.830861,0.737545,64.425992,0.645904,69.780552,0.678552,71.704614,0.617015,64.397298,0.677745,69.299238,0.554244,67.049118,0.551512,63.162866,0.480042,67.213055,0.506016,65.081855,0.497904,64.623016,0.410620,66.168422,0.402421,69.691866,0.350950,70.322567,0.318233,71.039528,0.323451,75.490816,0.295758,72.422839,0.238360,72.780607,0.198115
3674770091.004040,359.000000,0.540000,71.516060,0.935207,73.980451,0.858063,69.113583,0.871346,66.582416,0.913976,68.263409,0.853229,68.557515,0.808513,71.675530,0.770526,69.128975,0.769988,69.755418,0.742614,69.369805,0.692725,66.744645,0.624387,67.224532,0.627288,68.600007,0.615493,68.943145,0.581170,70.554817,0.559250,63.894260,0.542467,70.537761,0.520143,70.612864,0.413091,70.692777,0.434584,75.573266,0.405503,66.084651,0.392528,71.458209,0.406590,73.674734,0.284552,72.004304,0.338966,73.953788,0.206972
3674770091.103775,359.000000,0.480000,70.229670,-0.925938,68.598018,-0.792490,67.242274,-0.721547,65.969388,-0.633777,68.555877,-0.383463,68.845431,-0.381447,67.903345,-0.221747,63.754539,-0.071681,71.125194,-0.004154,71.145081,0.106758,64.428783,0.248859,65.705761,0.372990,68.519398,0.458631,67.755394,0.533342,72.148984,0.723590,65.018259,0.890838,63.559294,0.968546,65.406283,1.111519,69.002156,1.221809,68.341644,1.339412,66.374601,1.440720,68.935005,1.602562,67.211826,1.698352,70.640074,1.834923,74.177643,1.931268
3674770091.204503,359.000000,0.536000,66.146409,0.870063,72.351719,0.829889,70.716303,0.807173,66.389844,0.800101,66.049729,0.696329,64.638645,0.730087,64.834710,0.676220,68.732533,0.715910,63.275704,0.666901,66.380873,0.593608,70.460567,0.578449,66.748228,0.588342,67.383406,0.614489,66.102018,0.513615,66.654213,0.526003,66.424663,0.380834,65.922607,0.388601,65.486744,0.437450,68.537793,0.359005,71.003611,0.328926,66.810644,0.254780,69.330421,0.276347,71.272647,0.249355,78.633002,0.225311,69.556410,0.154075
3674770091.304303,359.000000,0.516000,66.535322,0.938063,70.488761,0.888437,70.781662,0.808892,63.861918,0.822506,68.575928,0.727251,62.418611,0.685330,66.406669,0.716285,71.214061,0.676582,68.474424,0.666954,68.880149,0.677329,71.514684,0.652828,66.387784,0.621124,66.524147,0.628796,68.357768,0.523186,61.021494,0.525658,68.095742,0.482842,64.780338,0.463806,65.165466,0.402676,64.383687,0.474512,68.859902,0.381822,69.365472,0.299505,69.743954,0.328922,70.977908,0.332438,74.065646,0.260687,75.253940,0.228901
