Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3666309907.309598,271.000000,0.148000,503.811388,1.187800,1142.899398,0.937591,666.166160,-1.031451,1200.062722,-1.702418,1008.980906,-2.930450,1596.634932,1.244337,1501.482746,0.996869,906.403187,0.544762,2249.427877,2.337699,711.599910,-1.220567,1215.685190,2.973409,674.363635,2.088001,1399.478600,0.407771,1034.563446,-2.308786,686.826524,1.296854,846.376366,1.040057,945.066935,1.789811,968.120530,-0.726433,1150.046404,-1.538407,534.984880,-2.684618,7282.145966,-1.255795,761.400210,1.691051,739.008008,1.368238,1042.647012,-0.710020,757.576592,0.754545
3666309907.409332,268.000000,0.568000,721.560005,0.830820,1072.301899,-0.686517,1056.605388,1.966750,929.915862,-0.090878,867.923582,-0.698686,547.074404,1.573581,820.672665,-0.174622,728.862103,-2.429885,833.436370,1.475164,1116.737866,0.796581,1299.108444,-2.115481,819.911146,1.667473,1102.529414,-0.841729,1266.710079,-1.291386,622.761689,-3.137409,825.297468,0.020708,852.179093,-2.256414,1960.749895,-3.138765,609.338590,0.323520,2673.109077,-2.313074,813.305396,2.253412,4443.961823,-1.590577,854.168849,-2.306265,1190.560086,1.285281,601.851744,0.067483
3666309907.509066,268.000000,0.504000,1442.821999,1.203805,1063.024033,3.004928,2698.393365,1.346842,901.631161,-0.267159,766.503890,1.783998,1239.192075,-0.517343,2583.075439,-0.273298,2824.256593,2.728026,2686.242674,2.589999,2218.285249,-3.049867,672.025450,-0.980026,10426.436528,-2.151755,827.843396,2.821110,992.136937,-2.730679,821.648634,3.073022,96908.841798,-1.779855,3724.513793,-2.305844,931.237270,-0.473615,3265.312135,2.785938,2108.421499,-0.774053,1163.283373,0.835060,794.341907,1.492504,1822.785806,-2.206374,1670.767842,-3.063263,4319.950448,-0.558304
3666309907.608799,269.000000,0.260000,636.571785,-0.132070,1464.259124,2.020793,532.920738,-1.516024,726.590781,0.749445,744.374760,2.776393,854.011450,2.901377,1335.713640,1.387520,905.374435,-2.515087,4139.989376,1.234789,810.551036,1.640086,609.286100,-2.272817,691.715243,-0.041443,879.754958,2.846698,1366.274018,1.889946,1164.861756,-1.332651,1871.505579,-1.108425,1912.156156,2.441278,602.902441,-2.716086,1342.023128,-0.540714,1149.003413,2.455920,2983.422664,2.857195,513.372171,0.199740,1223.827129,0.607737,2197.154803,1.056794,900.963544,1.131987
3666309907.709529,270.000000,0.228000,607.984375,-2.658721,718.273246,-2.426178,1301.318791,-2.780851,774.852271,-2.917562,1003.223719,-1.195354,865.854107,-1.915927,1513.144426,-2.972747,996.319867,-2.544030,1164.555884,-2.844106,1579.426367,-1.694408,616.910997,-3.071261,2112.278559,0.875499,1089.033836,-1.904019,1546.165797,-1.706564,2719.769485,-2.432190,800.868944,-1.894088,562.924781,-2.125384,1296.010320,-0.527056,833.758356,-2.515036,2414.894064,-0.131081,1095.168232,-1.909314,621.151227,-2.149203,550.569629,-1.836669,1768.220446,-1.292028,510.191074,-2.696745
3666309907.809262,270.000000,0.504000,1354.035739,3.002490,683.110276,-2.837191,705.145049,-2.040362,1865.198104,-2.155510,918.015079,-3.135142,3347.792882,-2.475797,1036.960509,-1.106145,1454.179464,-1.573013,825.200031,-2.656662,2827.995477,0.974371,2582.738727,-2.051735,778.427002,-2.182623,973.626224,-2.388921,506.596604,-2.107208,1132.761609,-2.149034,764.148335,-2.321054,813.341471,-1.459737,1169.198105,-1.689783,1541.096441,-2.609570,949.430473,-2.538944,734.560769,-1.849056,1285.192594,-2.330102,735.431144,-2.433037,815.597825,-1.251114,764.981164,-2.320336
3666309907.908996,271.000000,0.532000,880.258662,-1.518169,828.242744,-2.399812,3191.467627,2.722230,778.304469,-0.046729,938.105321,2.641858,2679.047695,0.002064,2264.615517,-2.832079,1032.924613,3.074755,701.021211,-0.679839,760.120153,0.108439,736.845108,-2.970120,702.520499,0.912572,482.509238,-1.657247,837.433580,0.681134,3231.511073,2.392157,495.012059,2.161522,2937.210522,1.897871,4398.845557,-1.696940,1488.983097,2.375049,638.778166,0.185064,3182.314262,-1.106607,1157.179981,2.008924,1742.425387,0.247158,804.713842,-1.721843,1653.798632,2.430805
3666309908.008781,271.000000,0.204000,1059.868940,-2.091357,10073.661662,0.655254,2917.298232,0.527844,1163.706896,-1.150258,780.669494,3.055446,858.035847,-1.941817,954.202878,-2.850102,1009.006399,-2.952021,788.464442,-2.445196,1097.397269,-1.869966,6250.519200,-2.049803,2373.843658,0.509349,1903.480408,-2.003222,719.022013,-2.995912,1980.859352,2.071932,1072.094413,-2.580054,2210.059685,2.955103,763.259530,-2.582446,664.344304,-2.069701,594.475220,-2.821596,1433.504577,-1.982642,961.173706,-1.790414,575.520605,-2.145277,1647.656868,-2.043968,1501.887880,-1.024084
3666309908.109492,271.000000,0.488000,879.626515,-1.171771,1671.123306,2.802857,1107.171569,2.067323,858.857865,-0.370840,901.465485,-2.239787,1408.543745,1.482542,979.451113,0.651820,1059.921796,-0.954996,826.237423,-2.192225,1387.130000,0.412970,909.451749,0.069324,667.515093,-2.952414,977.204092,1.488351,939.713752,-0.238741,744.484624,-1.909342,1259.666852,-3.055759,1023.638970,0.586428,874.654115,-1.025204,1419.789360,-1.939216,1092.241258,2.163657,4407.646081,-1.315667,926.083780,-1.526966,1185.830378,1.988876,1141.493454,1.133118,1018.457946,-0.803781
3666309908.209193,272.000000,0.136000,1246.592123,-2.166659,1064.286789,-2.732411,1011.890529,1.964704,780.879814,1.727546,868.259448,0.453019,1496.372201,-0.644339,1815.913139,-1.015346,1046.468066,-3.126389,840.243049,2.922989,1185.977348,1.084416,800.598482,0.832834,449.532089,-0.092571,1508.957618,-2.739031,568.808913,-0.743804,669.072067,-1.519994,686.028514,2.220827,1194.684327,0.901572,744.049123,0.680449,2027.396091,0.906887,1225.651512,-0.228455,6856.621242,-1.648282,773.913907,-3.055393,1170.207749,2.564826,974.926257,0.989600,2321.394350,1.656880
