Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3666310308.625505,271.000000,0.504000,629.893895,1.985014,1066.624311,-1.180139,541.032071,-0.548055,2322.113943,-2.916711,2553.304439,3.000852,929.316754,-0.927438,1249.625325,0.572075,839.694636,1.015343,1170.582412,2.560999,764.030761,-0.346369,787.728920,0.928141,12012.087071,0.086033,469.252716,-1.741913,877.909007,-2.152521,651.591853,-0.741593,882.433275,1.609147,2052.644131,2.950506,952.949532,-1.548343,2707.252899,0.052427,1091.593062,2.238986,2468.051472,-0.974235,486.719976,-1.215462,1507.460797,1.392546,676.220988,-3.021345,1731.693622,-1.313788
3666310308.725238,271.000000,0.240000,748.030154,1.762259,626.074970,2.701711,850.616497,2.017892,957.902067,2.272441,772.329807,-2.415357,718.425606,2.141191,1587.967034,0.721823,422.323097,2.213330,1135.133950,-3.069027,804.095069,2.418227,1175.446400,1.625587,881.315519,2.889458,446.879934,2.386508,427.367230,2.359930,516.635946,2.394565,1293.761614,2.085748,2053.601060,-1.646551,1523.425945,2.238318,1137.506288,2.780743,1376.736422,2.545023,882.695155,2.016193,864.451485,-2.947812,3630.942336,2.571159,1374.684865,2.947598,509.042929,2.676490
3666310308.824971,266.000000,0.500000,818.166822,1.985055,1413.763811,1.768318,1245.277184,2.552790,1590.270460,2.198013,849.662886,2.731281,633.208180,2.534010,635.492298,2.607010,1327.950415,2.938232,825.690743,2.302953,639.999689,2.836114,574.712721,3.079007,1123.795008,-3.063741,671.377858,2.347346,792.699735,2.993121,1124.897762,-2.917551,450.994371,2.787043,1305.166640,-2.972527,1002.663092,3.033822,917.864668,2.803538,656.068622,2.810027,1245.177057,1.905999,1024.653937,2.919884,586.923237,-2.862398,1922.750140,-2.792431,709.096184,2.448753
3666310308.926303,269.000000,0.212000,626.772786,-2.595671,1074.555878,-1.261022,763.335356,-1.213471,5101.044712,2.350785,1261.364285,-0.462558,855.274629,1.520713,1601.163288,0.909114,730.049015,1.888391,1172.756034,0.334757,903.584499,0.685934,1043.744755,1.714333,3701.289629,0.176893,663.962615,3.038030,825.247747,2.394201,573.320811,0.975258,997.748370,2.550526,1368.241770,1.882022,1147.668799,-2.354440,811.133878,-2.166853,1308.847734,0.253714,633.069728,-1.294511,767.208972,0.632397,847.716424,0.217819,694.170212,2.243520,799.435366,2.333919
3666310309.026447,270.000000,0.124000,735.136907,-2.521206,1296.837282,-0.541048,873.533915,2.060639,3823.644918,0.647585,2694.877755,1.375056,914.886347,2.072559,2464.312723,-2.792302,3724.089927,-1.471762,1305.376307,0.815228,730.928013,-2.392602,595.075207,-0.226741,1500.391195,-0.116475,866.155739,-2.573521,1346.099134,-2.111831,794.470642,-0.634108,1645.398147,-0.236220,2166.397265,-0.548126,1487.564074,-1.403706,1258.628675,2.024154,1394.861978,-2.443141,1469.384505,1.805829,677.854490,0.951139,1576.899694,-0.505465,1505.136799,-0.406279,773.138210,1.484788
3666310309.126299,270.000000,0.124000,8457.445416,-2.722570,1744.992305,2.869287,1856.233987,2.367778,9992.389638,-1.247832,1010.493542,-3.029964,836.326977,2.588335,951.579476,1.131583,562.783642,1.914943,1017.165853,1.695353,649.235189,2.647670,853.976123,2.733245,613.986323,2.614064,793.145488,-3.049189,718.752137,2.922128,1436.219145,1.545841,762.047730,-3.037904,491.244993,2.405121,988.960130,2.000109,889.797954,2.468378,632.791015,-3.008690,572.037972,2.964406,2137.718513,-2.990898,790.619862,2.947130,489.483473,2.391178,1444.530951,-2.868681
3666310309.226067,270.000000,0.548000,487.394066,2.984152,851.751070,2.906137,6121.329191,1.227210,1982.052094,1.777425,905.605210,2.070693,942.052479,1.697922,1144.360193,2.191133,976.858872,-2.786646,593.926296,2.036947,718.386098,2.389095,1139.541414,2.638228,1027.542806,2.753019,703.988509,2.893065,876.044173,2.600511,763.124111,3.138190,1139.837795,2.154401,806.398440,2.227098,622.744957,2.520908,1541.842269,1.341751,602.500212,-2.843119,865.351948,-3.052054,572.997583,2.484909,857.802610,2.912208,688.636081,2.511403,1391.881861,2.748109
3666310309.325768,271.000000,0.152000,580.243332,2.793449,1185.455062,1.986100,869.701939,2.158200,515.238325,2.799749,966.942723,2.963249,660.336416,2.934461,826.244544,2.855254,663.644578,2.857360,863.604013,-3.033363,1062.449137,2.345788,1132.143905,-2.992206,547.624484,2.708420,1115.158833,2.505600,512.219493,2.762185,846.309787,2.862520,729.350520,2.788691,645.362320,3.063052,609.327359,2.768081,605.652215,2.713642,1001.812413,2.820513,731.359117,2.259605,792.721293,2.944149,715.662373,3.121502,513.919207,-3.014893,539.782253,2.603712
3666310309.426497,271.000000,0.136000,1066.706456,1.593497,956.893263,2.106369,488.516014,1.582970,837.194409,-2.796672,1025.274924,-2.344840,531.297117,2.635996,754.758026,-3.109963,865.188051,2.634919,1381.030208,-0.066863,626.020165,-3.029407,492.352966,2.730721,1364.717846,-1.021892,701.101825,2.286155,1567.726456,2.887233,1584.385172,-0.228932,490.327587,2.179435,866.227506,-2.671667,498.150084,2.275245,918.871179,-2.648189,1510.956307,-1.119641,636.992235,-0.879721,1066.267342,-1.901167,1286.312144,-1.141022,2243.570226,-0.951652,713.953923,-2.253285
3666310309.526242,272.000000,0.568000,568.635080,0.522431,1275.194139,-0.830104,803.948930,-2.998773,664.030583,2.221801,1514.796106,0.295204,1067.300757,-0.043842,917.946125,0.965121,951.482921,1.081773,1977.840416,-2.706801,744.034535,-2.564313,539.366759,1.064349,2038.624057,-2.152004,1454.623460,2.904362,523.539579,0.114472,686.798089,3.036400,921.949358,1.531532,3080.493698,-0.951457,1382.563804,-1.825860,2169.343135,-2.108893,635.834285,1.241311,4168.817618,-2.478041,470.795398,-2.884567,1582.370733,0.949552,528.896659,-0.184462,651.327684,-1.807417
3666310309.625996,273.000000,0.516000,1022.675524,-3.106127,1001.768123,1.956810,522.359708,2.543379,699.118685,2.678904,616.729523,2.117654,1028.796384,2.708481,470.880905,2.743121,2960.756407,-0.933307,823.075398,2.498477,647.851848,2.624389,873.265419,3.034526,1175.803063,3.106376,752.155718,2.567549,1053.844787,2.261726,2040.896154,2.837413,1952.342402,2.418370,458.064153,2.851499,722.477518,-2.991872,886.517618,2.440334,1123.971395,2.787855,775.348232,3.051003,975.878990,2.598682,950.743437,1.043108,924.837947,2.789057,903.316230,2.300210
3666310309.727693,273.000000,0.104000,2454.751629,-0.139666,1000.597718,-1.797358,734.689034,1.725162,1486.515518,0.605639,691.729056,2.407583,892.726001,0.626217,576.623824,-1.926398,759.250398,1.900687,994.140614,-0.315839,1279.675552,2.900128,858.729475,0.364791,1267.454414,-2.175366,1120.912997,-0.785288,785.745164,-0.521000,1183.551485,2.139817,948.049017,0.140143,1018.560297,-3.032169,584.153326,1.646506,972.034481,-2.036522,781.585037,2.106594,719.063824,0.048269,392.602204,-2.581457,689.245166,0.717999,532.463549,-1.072941,1760.817762,2.363339
3666310309.827425,273.000000,0.076000,628.933152,0.901414,452.562383,0.915243,601.514980,0.537670,553.842455,0.999596,1114.300411,1.434135,646.796157,0.459963,1112.118410,0.204791,662.794587,-0.565571,1974.260427,2.279203,653.359071,-1.999520,687.184304,-2.663149,1502.930845,-2.468575,2712.942224,2.099686,580.453261,1.060857,1023.390197,-0.893065,828.907956,-0.880673,1006.980564,0.984867,819.492578,-0.587027,638.818302,-1.257968,1195.015742,-2.106056,1515.722382,1.933064,643.496293,-2.128273,711.890662,-2.025542,679.960746,-2.659993,1851.687493,2.469961
