Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3683668813.730768,0.062500,998.841483,3.028211,2983.878786,-2.930372,675.236175,1.412768,1883.494217,2.593554,3447.315852,1.402720,1403.658516,2.663091,517.970122,2.543312,780.743295,3.038078,1254.048039,2.661626,682.117109,2.223490,1562.980510,2.510220,871.655325,2.882966,1186.501030,2.579849,627.119754,2.477475,561.595908,2.406711,1424.809771,2.072188,645.916570,2.317978,634.251584,2.506835,714.476392,2.341574,634.880735,2.796982,800.224356,2.423474,639.353864,2.842425,2249.727034,2.224919,701.339964,2.822117,588.939529,2.222031,956.006793,2.335694,803.716076,2.324425,901.576869,1.605449,1175.749170,2.650330,530.424239,2.056017,452.760144,1.606768,520.108555,2.632818
3683668813.831731,0.113281,754.718459,2.564254,762.632969,2.806168,1161.702628,2.405475,1108.048895,2.994944,944.498942,3.096763,1113.198914,2.454431,718.699639,3.018676,575.409783,3.035033,1261.439794,-2.982045,699.397491,2.567905,724.456060,2.753014,915.474884,2.692411,925.376687,2.026675,1156.974342,2.232095,880.954021,3.065403,1777.905197,2.640407,2475.135907,0.312437,981.402736,2.846783,795.503457,2.597597,934.747681,2.273130,716.004884,2.364049,2130.828526,3.024125,524.698628,2.281297,1300.272184,2.973413,806.937282,2.177448,497.039743,1.441157,1419.796453,2.038216,931.397762,1.714086,432.553298,1.969714,798.908353,-3.003863,882.581971,2.519974,493.183115,3.117464
3683668813.931469,0.050781,938.830412,-2.622534,1013.533368,2.849904,883.389584,1.896503,776.123186,2.839465,920.441105,2.929367,671.427099,-3.064998,580.268858,2.761422,412.583041,2.697777,535.623592,2.895260,930.590034,3.062572,637.979408,2.799356,565.502201,3.135943,832.197816,-2.904142,525.950956,2.867888,991.680048,2.970374,496.409702,2.614457,649.557343,2.117608,758.524119,-2.892311,778.447355,3.062436,637.925198,2.541018,509.698128,2.267627,553.576210,2.407261,647.253694,2.471914,610.284603,-3.113848,712.986740,2.936258,604.409199,2.729060,1377.246829,2.748436,480.831858,2.808491,566.283179,2.071480,1167.815466,1.982885,565.475182,2.966677,477.432408,2.704633
3683668814.031558,0.152344,601.517303,2.866873,992.995665,3.069085,1114.919962,2.770766,677.536367,2.805555,662.320501,2.495081,466.142232,2.889406,637.821447,2.366937,931.965901,1.832280,519.425904,2.278612,876.483023,-2.661653,883.865129,2.891592,822.529185,2.878941,682.124179,2.311661,667.999979,2.303670,715.435665,2.893877,577.738283,-2.979696,830.714619,2.901619,1065.905832,2.830622,701.218452,2.867185,861.480095,-2.810114,1448.902296,2.908786,712.163074,2.720131,722.377055,1.417820,588.030457,2.497327,1118.104656,1.814298,764.746980,2.909612,1444.760329,1.937270,836.811990,2.429030,829.020669,-3.087056,1340.537615,1.531817,653.489379,2.409335,952.819605,2.731239
3683668814.131641,0.062500,656.634568,2.894825,777.829082,2.580277,939.350877,-2.957427,1100.665287,2.935815,2174.602282,3.102203,1085.355800,3.121234,589.945578,2.863666,502.695142,2.863785,982.882179,2.909939,706.789570,2.914770,698.268588,2.958482,552.922933,3.120022,511.424246,3.000350,724.796399,2.108401,584.973566,3.089691,864.937587,-2.735773,605.631396,-2.938786,585.892270,2.968701,1229.499716,-2.928571,4003.578983,-0.772670,783.337166,2.772336,1353.435744,2.919301,740.676539,-2.846589,783.580342,2.561729,711.202062,2.557197,498.949750,2.506783,1107.264299,2.633066,573.454814,2.237586,501.802098,2.404086,797.141307,2.586388,866.345422,-3.099145,758.433529,2.519932
3683668814.231680,0.074219,742.817668,2.974406,967.284878,2.696407,693.940160,1.949423,1114.592970,2.211123,1157.395193,2.900437,964.484428,2.287692,1624.347432,-2.719652,650.819955,2.542276,610.035886,2.053809,578.056678,3.062786,579.274696,2.890721,1747.906492,2.302554,916.982116,-3.088488,888.695072,2.440242,1438.832181,2.809689,986.432794,2.834765,2255.403382,2.659771,555.488356,2.165456,1326.593271,2.524446,1033.924089,1.725538,1140.169716,2.776335,596.556650,2.542053,591.699878,2.646598,630.902190,2.593609,797.422008,2.122038,681.233903,1.823671,1011.643805,2.068896,556.072147,2.276523,790.284713,2.211717,2608.714507,2.768636,513.050553,2.220009,603.289063,2.577056
3683668814.332769,0.089844,517.340990,2.797190,510.948986,-2.608605,1333.202119,1.776762,2546.183523,3.104535,724.646079,2.601382,548.856261,2.654576,1043.082741,-3.103728,987.789067,2.615726,629.712403,2.988109,642.160249,-3.028933,657.872561,2.807481,925.318912,2.720592,1242.704141,2.931505,995.391857,2.481158,764.794773,3.070700,733.125963,-3.078890,917.635964,2.503747,650.974421,2.922802,1124.006644,2.983676,1721.963080,2.301347,592.294681,-3.126576,781.601253,-3.011779,1639.212592,-3.113764,2167.538468,3.094019,1887.505791,1.703283,988.722460,2.727814,503.530551,2.759645,665.164867,2.189815,551.729316,2.728801,1027.185463,2.579945,727.757452,2.420608,524.085113,2.194852
3683668814.433689,0.152344,1713.225524,3.063811,678.311055,3.132283,452.183984,-3.000412,3128.761623,-2.432704,1058.407305,-3.097439,1192.076715,0.875313,672.158023,2.613183,1485.865256,-2.758564,1348.530698,2.148598,871.220085,-3.135065,1887.760036,2.213092,610.174570,2.671129,689.863160,-2.598187,689.623061,2.356819,881.341718,-2.271877,470.404009,-2.791646,609.151629,2.624981,691.498454,2.917121,822.568725,-2.279444,1340.981949,-2.909011,1049.902627,2.397470,549.709908,-3.087225,935.574992,2.392169,1597.056460,2.626073,1173.790464,2.269501,798.701370,3.069150,723.675511,-2.568994,1053.463498,2.661576,567.663473,1.711209,608.172426,-2.891536,707.184905,2.025816,979.458134,2.686141
3683668814.532935,0.144531,943.072083,2.896555,2334.031042,1.170253,668.622772,2.897276,1053.209075,2.893406,487.003094,2.498832,1052.374407,2.931821,496.060268,2.701430,2918.992717,2.504790,1689.830258,2.758451,1459.068668,-3.116384,2032.661090,-1.680119,911.589255,2.589243,669.103706,2.817923,600.163445,2.254808,522.851456,2.087047,636.044149,3.140198,851.274844,1.984905,642.913726,2.321518,1142.363682,-3.064608,478.625194,2.316071,945.802388,2.387011,644.464628,3.055279,1404.779165,2.715044,878.015343,2.167483,673.983639,2.615193,617.767971,2.024102,1421.423175,2.931188,521.340005,2.488554,1346.749857,2.546766,601.236935,2.412433,812.083850,2.944562,715.877124,2.076027
3683668814.633929,0.117187,1159.109883,2.505328,640.232056,-2.840087,1114.375664,3.065952,514.021230,-1.610514,515.077398,2.949348,741.041512,-3.096451,1183.761775,2.713619,1291.298673,2.258728,450.763050,2.879265,1295.951592,2.602416,8370.942999,0.962931,980.599705,2.965837,580.110834,-2.969354,1159.854867,-2.857107,609.275170,3.070104,552.386239,2.165094,699.161850,2.447293,775.313077,2.513662,728.450792,3.071350,2394.230967,2.788483,1119.639607,2.239798,1065.959380,3.072297,685.052220,-2.868344,755.977267,2.967569,1092.054039,2.354154,1659.904893,2.150734,770.380648,2.356197,679.849762,2.527125,617.472408,2.342194,1084.310762,2.999988,1314.019748,1.830101,2352.428480,3.024351
