Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3683668986.061452,0.000000,64.303820,0.169096,62.566728,0.095351,63.068549,0.165733,54.604209,0.099027,49.586473,0.054498,50.886926,0.238860,50.596082,0.046019,63.792079,0.050819,51.744611,0.141741,53.898854,0.188528,62.629017,0.010374,58.555136,0.162026,58.101876,0.106615,55.302670,-0.147414,54.202647,0.071033,56.034833,-0.047287,53.963641,-0.160617,54.356827,-0.024835,63.889930,-0.175024,55.428920,-0.277858,49.875313,-0.176210,61.590407,-0.202760,59.176262,-0.287277,53.043666,-0.324273,61.202207,-0.283522,57.040884,-0.371935,55.999706,-0.422008,50.684080,-0.385086,50.198787,-0.377648,66.646962,-0.300942,56.982688,-0.273955,54.972698,-0.307275
3683668986.161290,0.000000,64.337928,0.117342,61.459496,0.020468,64.574718,0.043318,52.951825,0.067042,53.559687,0.015508,51.448716,0.158409,53.912692,-0.007164,67.614909,0.060972,50.840963,0.076156,55.201156,0.166068,68.087798,-0.034472,56.586322,0.099050,55.373323,0.124982,56.045542,-0.203122,55.322178,0.014615,53.442948,-0.008223,52.366962,-0.231976,57.401485,-0.012434,59.297517,-0.239286,54.319118,-0.326706,50.648774,-0.223235,61.710549,-0.261692,61.764604,-0.273977,56.482408,-0.351691,61.879679,-0.328132,54.600636,-0.425405,57.560741,-0.418371,51.470415,-0.388053,48.762414,-0.402154,67.090367,-0.346024,56.787408,-0.327144,54.642636,-0.328874
3683668986.261025,0.000000,67.501833,0.297152,67.008511,0.214977,66.000255,0.295059,53.772832,0.226804,56.415825,0.183522,54.632557,0.323824,54.986597,0.128315,68.547407,0.178306,49.966750,0.227080,57.577021,0.350868,67.816143,0.223582,58.464591,0.308037,57.721880,0.294266,59.163258,-0.049315,55.648899,0.211168,59.599548,0.162152,56.472505,-0.143249,60.862093,0.085776,65.761841,-0.061941,55.753713,-0.124081,53.276959,-0.036722,62.690288,-0.053145,62.938490,-0.121124,60.097544,-0.201174,62.718763,-0.130455,58.554577,-0.277896,60.231419,-0.274867,50.562434,-0.244807,54.484594,-0.249972,72.587633,-0.240816,53.240328,-0.133280,59.618507,-0.190895
3683668986.360864,0.000000,68.781882,0.167237,63.006020,0.198225,61.961003,0.169409,51.940255,0.170133,55.464715,0.134781,50.770426,0.249157,54.653286,0.029026,66.722875,0.087468,50.681189,0.149486,56.853574,0.246948,70.403983,0.057143,54.911980,0.243315,55.457989,0.222204,56.807447,-0.120570,54.261563,0.153174,56.757184,0.063841,53.523938,-0.145834,59.216632,0.030609,67.715786,-0.065967,55.539126,-0.183413,50.997742,-0.119996,59.869620,-0.116220,61.216495,-0.151291,55.715323,-0.238950,62.504755,-0.226497,55.290932,-0.328631,58.387267,-0.409708,49.993388,-0.335046,51.788103,-0.295878,66.917854,-0.196708,53.577901,-0.162742,58.770093,-0.271559
3683668986.461585,0.000000,63.499299,0.266586,65.657378,0.238151,67.003353,0.237111,52.130232,0.172269,54.250516,0.173169,50.756599,0.295935,56.032183,0.123558,68.380311,0.130912,47.996233,0.220377,56.496006,0.284837,68.428131,0.067212,56.470472,0.263157,54.021182,0.253695,55.975082,-0.113789,55.077146,0.186360,55.061676,0.144232,54.862432,-0.117473,56.117082,0.133438,62.942777,-0.029503,57.778050,-0.147079,53.172189,-0.069458,58.238423,-0.106795,61.564265,-0.147947,56.474619,-0.208697,63.467073,-0.204268,56.795860,-0.314317,58.145624,-0.317174,50.607041,-0.259490,52.866447,-0.298436,67.100221,-0.266213,55.130331,-0.135418,60.006218,-0.161552
3683668986.561475,0.000000,65.610197,0.283854,62.354769,0.227338,64.148095,0.192956,55.211718,0.203426,55.523812,0.205884,50.029208,0.351165,55.162916,0.143300,68.042396,0.131775,51.433038,0.220194,55.302142,0.292134,68.045437,0.147558,56.826674,0.269093,55.211884,0.275101,59.304118,-0.072886,54.082471,0.199742,55.611869,0.146169,55.708318,-0.095271,55.341655,0.078544,63.325033,-0.040826,58.701504,-0.143924,51.585659,-0.068828,64.339785,-0.021128,64.237188,-0.044612,58.184182,-0.219743,66.623497,-0.150357,58.351442,-0.265596,59.634501,-0.320162,49.473239,-0.291788,50.544587,-0.321695,73.782222,-0.204851,57.070252,-0.183115,57.382562,-0.199294
3683668986.662417,0.000000,65.573035,0.180667,64.778323,0.172748,70.777546,0.162283,54.244247,0.178368,52.972179,0.144812,52.189760,0.288403,50.453838,0.066852,69.137576,0.124892,51.201893,0.181642,58.348123,0.239599,68.390974,0.122502,60.082687,0.255613,57.721813,0.243133,59.233197,-0.127949,59.562021,0.152141,57.867302,0.077730,55.333032,-0.113884,59.887800,0.104591,62.806740,-0.053844,54.732373,-0.190502,53.522606,-0.078948,64.364109,-0.148591,62.091303,-0.170229,56.846092,-0.243943,65.869945,-0.256149,55.637894,-0.298115,57.063814,-0.307166,51.446303,-0.226158,54.615334,-0.324605,65.998178,-0.257389,57.536114,-0.186208,58.322645,-0.165106
3683668986.762149,0.000000,70.457035,0.280064,67.405625,0.374511,70.864807,0.319429,58.785647,0.241379,59.184887,0.219400,52.344191,0.346059,56.984344,0.211412,68.935568,0.267510,53.109549,0.263663,59.124449,0.378520,69.355763,0.198980,58.459040,0.305846,58.474121,0.307388,64.295077,0.044330,59.107134,0.243244,61.704971,0.216045,57.766743,-0.060345,58.419297,0.189701,67.311435,-0.003378,58.827472,-0.069601,54.204770,-0.006488,67.918011,0.019219,67.053358,-0.097806,61.867849,-0.192539,70.062181,-0.086553,60.054633,-0.261658,60.697004,-0.268806,52.680546,-0.193472,51.459233,-0.233501,74.673913,-0.071283,62.057800,-0.031065,57.993973,-0.075490
3683668986.862325,0.000000,68.362109,0.337806,71.406846,0.270435,69.332082,0.229562,54.044391,0.295718,53.078325,0.232625,54.963092,0.429385,54.623997,0.192557,68.349203,0.170552,54.393924,0.297063,63.238974,0.386535,73.342627,0.177099,59.918457,0.374636,61.363468,0.374832,58.271166,-0.054693,59.245720,0.219760,63.756163,0.206283,56.829471,-0.062371,62.983646,0.192191,66.157106,-0.039016,55.744458,-0.102603,56.657086,0.019878,70.305436,-0.090355,64.897104,-0.087095,58.869935,-0.119095,67.060332,-0.140978,58.675721,-0.195916,58.580895,-0.223246,53.120141,-0.085024,54.565468,-0.166498,73.856268,-0.228148,59.208266,-0.022345,60.164938,-0.143275
3683668986.962643,0.000000,71.520006,0.350471,70.623376,0.355031,70.821583,0.256640,60.114801,0.278055,54.538401,0.224940,54.205099,0.461314,55.529011,0.187104,72.677631,0.239702,51.271056,0.334237,63.557321,0.428580,73.971819,0.176936,61.603660,0.370379,63.776769,0.305184,61.729622,0.074435,59.346169,0.283839,61.572230,0.194971,57.660690,0.005319,64.345689,0.148262,67.211859,0.052644,56.335116,-0.016022,55.553031,0.010185,65.227812,-0.059370,65.995579,-0.097775,57.058947,-0.147897,65.907819,-0.113917,57.281810,-0.156711,60.995343,-0.252324,55.710429,-0.147571,55.280243,-0.186897,75.760282,-0.154159,60.893565,-0.060794,59.826423,-0.078375
