Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3683668908.905106,0.000000,174.609027,1.028906,146.010075,1.187443,144.489675,1.063327,123.721172,0.959462,130.373501,0.950820,123.248632,1.045351,129.429555,0.914760,160.645836,0.930926,110.507863,0.948986,126.433152,1.060509,174.097386,0.760517,131.857472,1.110466,132.135903,1.037964,120.939149,0.709452,126.788486,0.959612,136.581857,0.944222,118.916549,0.656638,129.868263,0.956340,160.022238,0.551533,121.330228,0.506332,119.723419,0.787401,164.761183,0.565880,156.418927,0.679201,113.111221,0.536510,166.713970,0.654925,139.672513,0.546709,131.401937,0.454098,111.608615,0.517142,119.985632,0.502474,182.978958,0.570037,133.711753,0.451885,126.959607,0.671380
3683668909.004848,0.000000,140.149586,1.013444,145.880725,0.976057,140.699121,0.961865,144.636593,0.994410,121.852291,0.945900,110.644448,1.169612,120.531518,0.841920,166.612160,0.941989,126.719477,0.875921,144.201940,1.135207,163.567043,0.880581,133.697250,1.061592,118.447078,1.096064,138.661907,0.618298,119.469213,1.032476,151.878364,1.004224,115.148054,0.604891,124.188432,0.908871,151.166586,0.732315,128.628818,0.642228,121.944954,0.655238,144.336549,0.719360,151.274604,0.664654,129.759208,0.595261,164.124766,0.552413,129.081620,0.503249,159.043993,0.539835,118.963449,0.495578,119.852286,0.589794,180.761058,0.488350,164.890458,0.624546,131.566143,0.667078
3683668909.106645,0.000000,154.377153,1.129567,140.089536,1.136489,147.612886,1.144436,121.527140,1.125695,130.905628,1.112285,104.139748,1.227829,128.975078,0.890759,150.072496,1.087654,119.128850,1.029358,126.959817,1.260098,172.257399,0.981142,130.327432,1.197124,131.466528,1.219008,116.011680,0.793470,132.860168,1.131395,124.708345,1.079156,124.738429,0.847159,134.433281,1.064081,155.537169,0.851401,124.077152,0.607449,125.185771,0.811784,152.937169,0.799665,139.386846,0.749619,132.806824,0.692615,138.660815,0.814051,116.443583,0.536612,142.792318,0.671911,119.807488,0.702825,119.082131,0.605433,156.338045,0.646919,121.821013,0.829835,121.780769,0.769473
3683668909.206585,0.000000,145.687918,1.165701,148.755383,1.136687,143.269123,1.056773,129.961920,1.095415,133.921086,1.107437,111.081108,1.366557,113.813137,1.046707,161.055785,1.013623,104.116697,1.107015,114.548526,1.247397,168.941584,1.087814,131.315916,1.201954,134.077463,1.165153,119.624093,0.672636,139.859768,1.190396,127.479689,0.937673,139.601870,0.816320,133.635884,0.998120,147.086219,0.936358,124.413180,0.775013,114.083917,0.921251,138.166772,0.898818,142.179953,0.695315,139.408855,0.680365,145.660087,0.909157,132.646655,0.685526,135.133116,0.572863,107.828365,0.622925,133.818698,0.621159,160.617965,0.710039,116.926717,0.792278,124.300529,0.693788
3683668909.306278,0.000000,160.656888,1.111553,136.714696,1.092474,132.299125,1.187932,131.254007,1.087476,117.291187,1.097255,113.047844,1.178053,133.885899,1.005612,150.565280,1.072235,103.488857,1.131016,113.597799,1.195590,151.236057,1.080758,129.692157,1.118506,119.483201,1.181591,131.321608,0.718713,125.938868,1.150748,123.228664,0.991879,125.265666,0.721501,117.005078,0.987210,155.153429,0.972044,128.693433,0.608411,103.120083,0.772273,171.358290,0.868204,141.899072,0.793763,124.970631,0.613075,136.332372,0.729016,121.663236,0.541882,133.682160,0.564666,117.717601,0.579164,118.006087,0.600230,166.062722,0.735951,127.349804,0.671810,122.341142,0.668921
3683668909.406045,0.000000,161.457000,1.104639,147.424490,1.174665,147.131351,1.023830,126.611993,1.035603,120.818072,1.053588,111.780206,1.233222,133.359616,1.033733,140.522421,0.915508,108.952809,1.171188,126.783434,1.257801,160.153246,0.846832,134.079463,1.182516,123.576593,1.135661,152.482269,0.747459,133.947171,1.199530,120.818135,1.001554,131.160179,0.768348,123.121192,0.907133,145.729824,0.899620,126.146239,0.727647,118.602380,0.755419,161.581353,0.788504,159.294566,0.828798,134.435432,0.532407,139.110941,0.814087,127.669650,0.642451,138.694456,0.479408,137.694418,0.682114,119.918759,0.623640,179.882670,0.789708,133.544931,0.734973,120.650246,0.757474
3683668909.506138,0.000000,146.531063,1.168738,157.237248,1.140326,147.681805,0.997431,116.906603,1.197360,120.588387,0.971337,122.984899,1.177541,128.321604,0.900218,144.778356,0.968636,123.071817,1.037295,124.865095,1.153392,159.513134,1.052503,136.392655,1.087810,113.641890,1.135336,148.923743,0.786580,115.765588,1.067727,116.179050,1.041536,124.701417,0.669257,121.768112,0.897523,132.627151,0.904863,120.369161,0.716576,124.082117,0.762565,151.293508,0.897806,131.782644,0.840519,126.441000,0.504496,159.182858,0.691536,138.870383,0.552957,145.043219,0.648855,110.572522,0.640156,106.094448,0.541545,166.935387,0.732032,140.074612,0.685176,135.748540,0.640214
3683668909.605866,0.000000,165.502601,1.150376,165.242872,1.100972,167.122964,1.192721,124.385195,1.045846,137.487960,1.069221,112.588948,1.251128,135.862997,1.016280,172.749592,0.967041,121.122026,1.056863,130.667742,1.208973,150.646300,1.039800,134.199895,1.338574,132.538245,1.250390,129.615750,0.752266,128.183684,1.091070,128.454112,1.090881,134.428195,0.797432,131.275466,0.947339,156.709542,0.854366,148.738677,0.746244,130.121290,0.821786,162.959963,0.817032,149.411014,0.809654,150.059066,0.601784,153.878244,0.744863,131.831481,0.788329,150.297010,0.452142,129.735628,0.619747,119.910031,0.712140,166.135583,0.573390,127.749105,0.660782,140.542175,0.762235
3683668909.706635,0.000000,176.815286,1.081335,162.433544,1.199914,156.985433,1.281324,117.832052,1.067570,128.288282,1.179150,118.915410,1.241735,127.989107,1.085496,168.060433,1.147239,126.834201,1.153899,141.607785,1.171528,147.193021,0.974027,138.344167,1.155822,139.811555,1.099209,129.297222,0.789483,112.724246,1.079715,148.502978,1.056929,122.211789,0.792424,133.259753,1.062136,146.159658,1.019271,136.551691,0.803587,124.140467,0.894910,140.061071,0.767238,137.518241,0.761650,138.682721,0.768252,160.349246,0.837252,137.389856,0.542014,139.099642,0.624457,116.573451,0.584772,113.894793,0.562392,192.511690,0.728493,126.863055,0.731756,154.480822,0.771863
3683668909.805971,0.000000,159.828609,1.140736,150.203279,1.367259,158.504971,0.998829,134.142549,1.131494,127.572438,1.023202,114.359101,1.172439,131.078251,1.010160,159.165557,1.060946,116.774290,1.068483,136.329856,1.276980,156.236253,0.952828,133.218064,1.205421,156.478679,1.274207,153.019177,0.861329,129.346801,1.110160,124.758846,1.004211,145.475520,0.773093,135.111309,1.088534,171.486835,0.906926,151.081376,0.720414,112.680918,0.806179,151.132755,0.758078,153.419776,0.689143,141.516555,0.740352,154.663448,0.709462,131.871414,0.654307,146.127602,0.667280,125.891035,0.822727,133.690366,0.636591,161.645963,0.801743,127.171696,0.717432,120.324900,0.685354
