Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3683668351.294042,0.000000,39.731621,0.261017,40.191404,0.289049,41.761880,0.239019,33.721168,0.234374,34.196838,0.222007,31.539751,0.334809,34.316848,0.131288,43.026091,0.247712,31.157724,0.260763,36.230169,0.328872,42.754352,0.165421,35.064101,0.312609,36.018428,0.316216,34.959006,-0.071157,33.998759,0.223406,35.077879,0.163973,34.779478,-0.096278,34.641015,0.145559,40.472713,-0.008584,35.561371,-0.112032,33.269428,-0.041798,39.710125,-0.060543,38.113032,-0.070919,35.345316,-0.165279,40.897349,-0.131500,35.465279,-0.254941,36.481156,-0.265714,32.160596,-0.228776,33.022220,-0.293000,42.422765,-0.158818,36.570598,-0.120396,34.917997,-0.100174
3683668351.393834,0.000000,42.855126,0.302586,41.202845,0.304561,40.827419,0.275111,34.162025,0.287006,34.746844,0.226404,31.745656,0.357879,34.957648,0.178955,41.943777,0.258618,31.111531,0.255093,36.832078,0.386417,42.944918,0.250214,35.530030,0.346242,34.802029,0.317670,35.788687,-0.042113,34.348447,0.263535,35.087868,0.202551,35.487851,-0.108132,35.810115,0.168661,41.645325,0.028119,36.146834,-0.093538,32.177911,-0.009364,39.815781,-0.052440,39.718547,-0.047576,36.235242,-0.159424,42.916135,-0.073978,35.219934,-0.257620,36.721985,-0.258230,31.601195,-0.206848,32.577796,-0.228341,45.090108,-0.123524,34.276361,-0.059731,34.409611,-0.114709
3683668351.494689,0.000000,40.711793,0.361661,41.972700,0.370292,41.224140,0.341869,34.070057,0.305515,33.813457,0.232668,30.769036,0.389548,36.024503,0.170749,43.118627,0.276984,30.414671,0.274335,37.087272,0.396835,43.201653,0.287863,33.754127,0.391103,34.978565,0.359572,35.607408,0.037406,33.133510,0.307842,34.587256,0.256297,35.236967,-0.016685,35.070062,0.245979,40.826898,0.086718,34.808026,-0.057594,32.754062,0.048358,41.062372,0.038774,39.189336,-0.014469,35.180872,-0.124039,39.518321,-0.047041,36.913990,-0.210748,35.734236,-0.231186,32.470411,-0.140791,30.822589,-0.169929,44.464684,-0.163848,36.570496,-0.043780,34.258318,-0.066072
3683668351.594341,0.000000,42.208666,0.304325,40.715432,0.325892,42.024996,0.346169,34.518881,0.316134,34.754876,0.260301,32.285793,0.381527,35.359429,0.177450,42.293245,0.299036,31.253961,0.281957,35.306476,0.418308,45.190903,0.257407,35.352174,0.389191,34.943520,0.365145,37.850813,0.011558,35.128681,0.276812,33.477268,0.227077,35.362366,-0.032755,35.432600,0.258805,41.923409,0.046216,35.785746,-0.082161,32.760065,0.008761,40.738712,0.016599,39.759387,-0.029150,35.899133,-0.131171,40.702637,-0.066326,35.886616,-0.236154,37.897216,-0.226444,32.121940,-0.192854,32.151213,-0.201502,44.301225,-0.074833,35.799571,-0.030288,35.729175,-0.068982
3683668351.694077,0.000000,40.493695,0.298985,41.517387,0.287811,41.571495,0.282254,32.866894,0.256978,33.789849,0.230286,31.590085,0.380137,33.353367,0.136619,41.265286,0.208019,30.383981,0.305721,35.709906,0.407203,44.321029,0.173417,36.378706,0.353742,34.165638,0.335215,35.000209,-0.038956,34.250036,0.259156,35.200045,0.211925,34.233748,-0.030881,34.942197,0.189525,39.204042,-0.004200,35.087343,-0.098257,32.328970,0.013949,40.082282,-0.030701,38.099446,-0.092550,33.623146,-0.171567,40.506005,-0.069240,35.485266,-0.250279,36.188441,-0.207458,31.265904,-0.148679,32.205585,-0.237394,43.444120,-0.127237,35.452994,-0.091138,36.635611,-0.135722
3683668351.794775,0.000000,42.476570,0.292297,39.290793,0.306279,40.968463,0.291590,33.878816,0.289516,35.193054,0.236972,31.289887,0.339991,34.216548,0.139818,41.958517,0.224454,30.257849,0.263648,35.206647,0.383277,43.255782,0.219466,34.528052,0.355662,33.595487,0.335373,36.027157,-0.054080,33.090773,0.296097,34.681799,0.177961,35.776148,-0.071335,35.742495,0.177272,41.961362,0.021189,36.077178,-0.085356,32.257086,-0.003158,39.910438,-0.005667,38.348593,-0.054753,35.330697,-0.139472,41.718570,-0.058004,36.653019,-0.216450,37.200288,-0.244169,31.760701,-0.186638,31.954551,-0.187138,43.908969,-0.128856,35.278222,-0.064432,35.118008,-0.130679
3683668351.894801,0.000000,40.244711,0.325411,41.662636,0.346749,41.649346,0.317408,34.338611,0.260726,34.729372,0.256082,30.337946,0.383287,33.758545,0.171311,41.192950,0.193282,30.652618,0.242983,34.230658,0.393346,42.570646,0.185718,34.198127,0.343943,33.426332,0.379818,36.683118,-0.017772,33.163314,0.265675,35.035042,0.236474,35.005782,-0.037708,35.075461,0.218401,39.413033,0.051336,36.072392,-0.095184,31.787516,0.010605,39.442152,-0.035445,39.187485,-0.046642,36.837351,-0.178201,40.688079,-0.026834,37.749745,-0.241666,37.994869,-0.242847,31.560522,-0.168885,31.982218,-0.222085,43.516497,-0.113625,34.651755,-0.076476,35.735517,-0.090673
3683668351.995023,0.000000,43.561185,0.447766,44.596019,0.398760,45.804271,0.414134,37.757546,0.437508,38.559159,0.359395,36.967785,0.533300,38.305868,0.270447,48.153663,0.372038,35.425219,0.426686,41.429230,0.517376,48.138613,0.359405,38.298049,0.485125,38.370128,0.467437,38.980605,0.127113,39.227175,0.429118,39.057973,0.354155,38.981402,0.070949,39.454871,0.320822,45.437904,0.147343,39.553226,0.047878,37.285975,0.132400,45.779019,0.114853,44.556892,0.032305,40.123838,-0.051095,48.898424,0.081311,40.334828,-0.091103,41.737289,-0.122240,36.651928,-0.082546,36.770274,-0.100731,49.779889,0.011258,40.981536,0.044945,40.648154,0.074902
3683668352.094970,0.000000,44.280485,0.514523,46.677383,0.475346,43.802076,0.488343,38.510527,0.423811,38.262561,0.437721,35.499213,0.530545,38.785654,0.347703,46.981516,0.362584,34.503895,0.434988,39.355332,0.550249,49.141060,0.415927,38.087893,0.506214,39.726621,0.491186,39.390516,0.152742,39.787250,0.456598,39.683508,0.398348,38.993076,0.128231,39.183587,0.384247,47.988794,0.194686,39.649154,0.074059,35.665525,0.145304,45.888674,0.153405,46.468893,0.133681,40.473848,0.002306,44.818826,0.078985,40.971245,-0.044068,41.191764,-0.080190,36.328353,-0.019333,36.095858,-0.044613,50.831096,0.067234,39.451574,0.104803,40.436904,0.095172
3683668352.194960,0.000000,45.972256,0.479990,47.806700,0.479545,46.870989,0.426610,39.060699,0.431371,38.053071,0.406943,37.368761,0.560222,38.487312,0.326615,48.870959,0.363968,35.364445,0.438244,40.691264,0.541260,52.374404,0.325792,40.801095,0.484813,42.173150,0.534503,40.399748,0.118801,41.529615,0.441404,41.388943,0.360396,39.570826,0.110017,39.460707,0.318154,47.701699,0.202343,39.687843,0.052457,35.875592,0.157872,46.208072,0.069537,48.760846,0.068737,40.475482,0.005361,47.913317,0.044778,42.202913,-0.067465,40.624891,-0.104368,37.838485,-0.015509,35.821926,-0.026686,50.195546,-0.035995,39.315184,0.081798,40.383003,0.077116
